iter	Passed	Remaining
0	4	435
1	8	413
2	12	398
3	15	366
4	19	367
5	23	367
6	27	361
7	30	354
8	34	345
9	37	333
10	39	320
11	41	304
12	43	289
13	45	277
14	46	265
15	48	254
16	49	243
17	51	234
18	52	225
19	54	216
20	55	208
21	56	201
22	58	194
23	59	187
24	60	180
25	61	174
26	62	168
27	63	163
28	64	158
29	65	153
30	66	148
31	67	143
32	68	139
33	69	134
34	70	130
35	71	126
36	72	122
37	72	119
38	73	115
39	74	111
40	75	108
41	75	104
42	76	101
43	77	98
44	78	95
45	79	92
46	79	90
47	80	87
48	81	84
49	82	82
50	82	79
51	83	77
52	84	74
53	85	72
54	85	70
55	86	67
56	87	65
57	87	63
58	88	61
59	89	59
60	90	57
61	91	55
62	91	53
63	92	52
64	93	50
65	94	48
66	94	46
67	95	44
68	96	43
69	97	41
70	97	39
71	98	38
72	99	36
73	100	35
74	100	33
75	101	32
76	102	30
77	103	29
78	103	27
79	104	26
80	105	24
81	106	23
82	106	21
83	107	20
84	108	19
85	109	17
86	109	16
87	110	15
88	111	13
89	112	12
90	112	11
91	113	9
92	114	8
93	115	7
94	115	6
95	116	4
96	117	3
97	118	2
98	118	1
99	119	0
